pergunta,resposta
O que é um livro best-seller?,É um livro que alcança grande sucesso comercial e lidera as listas de mais vendidos por determinado período.
Quem escreveu Dom Casmurro?,"O autor de Dom Casmurro é Machado de Assis, um dos maiores escritores brasileiros."
Qual a diferença entre romance e novela?,Romance é uma narrativa longa com desenvolvimento profundo dos personagens. Novela é mais curta e com menos tramas paralelas.
O que significa ISBN?,"ISBN significa International Standard Book Number, um código único para identificar livros."
Qual é a história de O Pequeno Príncipe?,"É a história de um príncipe que viaja por planetas e aprende sobre amor, solidão e amizade, escrita por Antoine de Saint-Exupéry."
Como posso cuidar bem dos meus livros?,"Mantenha em local seco e limpo, longe da luz solar direta. Evite umidade e manuseie com as mãos limpas."
Quais são os gêneros literários mais populares?,"Romance, fantasia, ficção científica, suspense, biografia e autoajuda são alguns dos mais populares."
O que é uma adaptação literária?,"É quando uma obra literária é transformada em outro formato, como filme, série ou peça teatral."
Quem é J.K. Rowling?,"J.K. Rowling é a autora da série Harry Potter, uma das sagas literárias mais vendidas da história."
O que é literatura clássica?,"São obras que resistiram ao tempo, têm relevância histórica e alto valor artístico e cultural."
