id,shelf_type,added_at,book_id,user_id,updated_at
75,lendo,2025-01-28 20:12:25.674962,55,2,2025-01-28 20:12:25.674990
76,lido,2025-02-04 20:22:49.861431,56,2,2025-02-04 20:22:49.863035
77,lido,2025-01-28 20:22:21.262937,57,2,2025-01-28 20:22:21.262955
78,lido,2025-01-28 20:23:30.965996,58,2,2025-01-28 20:23:30.966013
79,vou_ler,2025-01-28 20:24:37.501643,59,2,2025-01-28 20:24:37.501679
80,favorito,2025-01-28 20:25:17.365132,60,2,2025-02-04 20:23:37.877470
81,favorito,2025-01-28 20:26:10.912004,61,2,2025-01-28 20:26:10.912042
82,favorito,2025-01-28 20:26:39.205918,62,2,2025-01-28 20:26:39.205941
83,favorito,2025-01-28 20:28:18.336393,63,2,2025-01-28 20:28:18.336410
84,favorito,2025-01-28 20:29:12.552330,64,2,2025-02-04 20:23:12.954457
85,lido,2025-01-28 20:46:17.948592,65,2,2025-01-28 20:46:17.948609
86,lido,2025-01-28 20:46:36.444422,66,2,2025-01-28 20:46:36.444450
88,lido,2025-01-28 20:47:20.375395,68,2,2025-01-28 20:47:20.375424
89,vou_ler,2025-01-29 12:22:28.705666,72,2,2025-01-29 12:22:28.705683
90,vou_ler,2025-02-03 11:35:42.415611,73,2,2025-02-04 13:21:10.782244
92,lendo,2025-02-04 10:11:30.462356,84,2,2025-02-04 10:11:30.462400
93,vou_ler,2025-02-04 13:09:51.365517,115,2,2025-02-04 13:21:38.417079
94,vou_ler,2025-02-04 20:21:02.880259,116,2,2025-02-04 20:21:02.880285
95,vou_ler,2025-02-04 20:21:25.256370,117,2,2025-02-04 20:21:25.256414
96,vou_ler,2025-02-04 20:21:46.881882,118,2,2025-02-04 20:21:46.881911
97,favorito,2025-02-04 20:25:12.235983,81,2,2025-02-04 20:25:12.236042
99,lido,2025-02-06 14:04:51.606357,67,2,2025-02-06 14:04:51.606381
100,lendo,2025-02-12 20:33:18.268247,383,2,2025-02-12 20:33:18.268268
106,vou_ler,2025-02-17 21:51:45.661965,390,1,2025-02-17 21:51:45.661982
107,vou_ler,2025-02-17 21:52:15.609749,391,1,2025-02-17 21:52:15.609766
109,favorito,2025-02-17 22:04:02.680160,389,1,2025-02-18 12:46:13.854994
110,lido,2025-02-17 22:05:36.207036,393,1,2025-02-17 22:05:36.208811
111,lendo,2025-02-17 22:05:13.440698,394,1,2025-02-20 13:51:38.551895
112,favorito,2025-02-17 22:06:15.466435,395,1,2025-02-17 22:06:15.466465
113,lendo,2025-02-18 12:28:33.681780,396,1,2025-02-18 12:28:33.681815
114,favorito,2025-02-18 12:29:23.600115,397,1,2025-02-18 12:29:23.600135
115,lido,2025-02-18 12:29:45.727836,398,1,2025-02-18 12:29:45.727878
116,vou_ler,2025-02-18 12:30:10.689379,399,1,2025-02-18 12:30:10.689397
117,favorito,2025-02-18 12:45:24.071605,392,1,2025-02-18 12:45:24.071629
118,favorito,2025-02-18 12:46:00.174322,400,1,2025-02-18 12:46:00.174347
119,favorito,2025-02-18 12:59:31.093346,401,2,2025-02-18 12:59:31.093392
120,vou_ler,2025-02-18 13:00:30.984899,402,2,2025-02-18 13:00:30.984921
121,vou_ler,2025-02-20 10:41:37.665663,404,2,2025-02-20 10:41:37.665691
